name,country_iso2,region,locality
virtual dreams studio,CZ,praha,
vitam aeternam studio,CA,quebec,
soft spot:games,DE,,
tupã game studio,BR,minas gerais,belo horizonte
spellware studios,BE,,
lighthouse games,GB,warwickshire,royal leamington spa
play giant studios,TR,istanbul,
danzerart,IN,uttar pradesh,lucknow
toon tech,GB,london,london
dna creative inc.,CA,ontario,toronto
gamesuite,SE,saintckholm,
mischief michi media,US,new york,new york
triste studios,CA,british columbia,burnaby
gamedev gems,DE,berlin,
the oikos,AE,dubai,
two dog,US,california,milpitas
crow studios,TR,istanbul,
kreek,GB,portsmouth,
hox e-sports,BR,sao paulo,
liminal game studios,NL,utrecht,
elastic elk studios,ZA,western cape,
vortech games,RS,,
monster puppet corporation,ES,catalonia,barcelona
"dati technology co.,dotchclub.com, ltd.",
diabolical games,ID,nusa tenggara barat,gading
karno games,GE,t'bilisi,
avian hearts,IN,maharashtra,pune
smoshh & friends,AE,dubai,
golden coin turtle studio,MO,,macau
capriccioso games studio,PH,cebu city,cebu
nocturne games,FR,ile-de-france,paris
fuse games,GB,surrey,guildford
funrado,TR,ankara,
"syde swipe studios,sydeswipe.com, llc",
cloudware games,NG,,
secret of games,NL,noord-brabant,eindhoven
bullseye web3 studio,RO,cluj,cluj-napoca
bang bang studio,LT,vilnius,
firebreak games,US,arizona,flagstaff
entica inc.,JP,tokyo,tokyo
blockup,IM,douglas,
awesome game concepts,FR,hérault,montpellier
muck studio,GB,greater london,london
pozisyon futbol kart oyunu,TR,kocaeli,gebze
remāngu,CZ,praha,prague
polymator interactive private limited,IN,gujarat,ahmadabad
eldriss studios 🔥❄,BR,minas gerais,belo horizonte
duckheads studios,TR,istanbul,bayrampasa
3thix,US,texas,austin
hectiq,FR,nouvelle-aquitaine,bordeaux
gremm studio's,US,indiana,dillsboro
xr game labs,US,california,san francisco
icy ghost,IL,tel aviv,
mybae,TR,i̇zmir,
pinpin.world,ZA,western cape,cape town
asunder games,ES,asturias,el torno
boomedgg,US,illinois,chicago
playit,ID,bali,
anka interactive,TR,ankara,ankara
blizzie.co,CO,antioquia,medellin
rayll studios,IN,delhi,delhi
sevlac games,FR,auvergne-rhône-alpes,bron
hana games,FR,,
marsias games,TR,aydın,
ndus interactive,KR,seoul,
wolves and fairies,FR,bourgogne-franche-comte,mâcon
ralnier media (rng studios),US,pennsylvania,erie
vega games,TR,istanbul,
valluru tech,IN,telangana,hyderabad
swipal,ES,andalucia,malaga
lord of dragons,KR,seoul,
carmile.us,US,delaware,
mexifan,MX,nuevo leon,monterrey
crab e-sports,IN,maharashtra,mumbai
ukiyo,TR,istanbul,
saqibsalazar digital llc,US,texas,richardson
limonit games,TR,konya,
vanilledeluxe,FR,bourgogne-franche-comte,besançon
novo esports,IT,lombardia,milan
blob ink.,FR,auvergne-rhône-alpes,lyon
nth degree games,US,california,burlingame
lunarygames,FR,ile-de-france,le blanc-mesnil
yellowman - indie game studio,IN,,
623 studios,US,maryland,college park
skylab interactive,DE,berlin,
oyunin,TR,aydın,
lesser evil,DE,bavaria,munich
ready hero,US,washington,seattle
dark panda,CA,quebec,montreal
sentiment studio,TR,istanbul,
alfheim,IN,maharashtra,mumbai
glazer games india pvt. ltd.,IN,gujarat,
squadmate,LK,western province,athurugiriya
getbid games,DE,hesse,
nordic horde studios,SE,,
rise of the clones,US,california,san rafael
secret clubhouse,NO,aust-agder,arendal
2immerse,PL,,
kikimora games,SE,saintckholm,
code psyche productions,AE,dubai,
nexusphere studios,GB,greater london,london
siga sipat,BR,minas gerais,belo horizonte
ingames.io,IL,central district,ra'anana
apskeppet,SE,västra götaland,gothenburg
cashpa,TR,ankara,çankaya
utopia studio,ID,east java,banyuwangi
voracity esports,GB,,
studioorendo,SE,,
ochre shot,GB,nottinghamshire,
sealtime gmbh,DE,bavaria,munich
curious games,PL,mazovia,warsaw
"fuse games,fusegames.io, inc.",san francisco
ethereon,HK,central and western district,sheung wan
solr,US,california,san francisco
netherite,FR,ile-de-france,paris
tarchin studios,TR,istanbul,
fondogames,ES,andalucia,mairena del aljarafe
links league,CA,british columbia,north vancouver
the indie diarist,GB,greater london,london
the believer company,US,california,los angeles
falling state games,US,utah,salt lake city
exe interactive,NL,south holland,voorschoten
midnight legion esports,CA,british columbia,vancouver
floaty studio,SA,ar riyāḑ,riyadh
yucca games,TR,kuetahya,
darkhunter studios,EE,harjumaa,tallinn
bal akademi,TR,istanbul,
mato games | game stúdio,BR,rondonia,porto velho
inset studios,FR,ile-de-france,paris
kyrel,IN,delhi,delhi
arkenzo interactive,US,california,los angeles
red death game studios,US,california,san francisco
rallyhere,US,georgia,alpharetta
devstopia,TR,eskisehir,
spectropia studios ltd,GB,england,london
rum punch games,GB,calderdale,hebden bridge
the esports advocate,US,massachusetts,adams
jadestudios,IN,karnataka,bengaluru
lumen interactive studios,PK,punjab,bahawalpur
skysurfer games,HK,central and western,hong kong
galactica games,IE,dublin,rathcoole
baobab games,CA,quebec,montreal
astroscope,PL,mazovia,warsaw
spacereset,FR,nouvelle-aquitaine,bordeaux
mobile gaming brew,SG,central singapore,singapore
yuyuto games,TR,istanbul,
sonum games,ES,madrid,madrid
vellichor games,TR,istanbul,
opusmajor,FR,ile-de-france,paris
pinabi,TR,bursa,
toxon games,TR,i̇zmir,
other5 games ltd,GB,greater london,london
dark mode games,US,massachusetts,boston
gam3 studio,BR,,
mtee games,TR,istanbul,
boltable studio,AE,abu dhabi,abu dhabi
kuppy clans,AU,new south wales,sydney
terahype,CZ,,
alkotech labs,RO,dolj,craiova
dash games,GB,greater london,london
lotus labs gaming,CA,british columbia,vancouver
