steam_name,country_iso2,frequency
Miel,JP,35
Feral Interactive (Mac),GB,31
Valve,US,30
Winged Cloud,US,28
Telltale Games,US,27
"PopCap Games, Inc.",US,24
id Software,US,23
Ubisoft Montreal,CA,21
Square Enix,JP,21
Feral Interactive (Linux),GB,21
Firaxis Games,US,19
"CAPCOM Co., Ltd.",JP,18
Relic Entertainment,CA,16
Gearbox Software,US,16
Quiet River,RU,15
GSC Game World,UA,15
Daedalic Entertainment,DE,15
CREATIVE ASSEMBLY,GB,15
Norn,JP,14
BioWare,CA,14
Traveller's Tales,GB,13
Team17 Digital Ltd,GB,13
Microids,FR,13
Croteam,HR,13
SEGA,JP,12
LucasArts,US,12
Fulqrum Publishing,CZ,12
Crystal Dynamics,US,12
Capcom,JP,12
SimBin,SE,11
Raven Software,US,11
Paradox Development Studio,SE,11
Nihon Falcom,JP,11
"MicroProse Software, Inc",US,11
Infinity Ward,US,11
Double Fine Productions,US,11
Codemasters,GB,11
Bethesda Game Studios,US,11
Ryu Ga Gotoku Studio,JP,10
Rebellion,GB,10
Nightdive Studios,US,10
NeocoreGames,HU,10
Klei Entertainment,CA,10
Frogwares,UA,10
Forever Entertainment S. A.,PL,10
Aspyr (Mac),US,10
Techland,PL,9
Cyanide Studio,FR,9
Bohemia Interactive,CZ,9
Arkane Studios,FR,9
aNCHOR Inc.,JP,9
Zachtronics,US,8
Wastelands Interactive,PL,8
Volition,US,8
Visual Concepts,US,8
Ubisoft Montpellier,FR,8
Treyarch,US,8
Obsidian Entertainment,US,8
Larian Studios,BE,8
KADOKAWA,JP,8
Haemimont Games,BG,8
Gotcha Gotcha Games,JP,8
Frontwing,,8
"FromSoftware, Inc.",JP,8
Yoji Ojima,,7
SpinTop Games,,7
"Spike Chunsoft Co., Ltd.",JP,7
Spiderweb Software,GB,7
Racing Bros,,7
QLOC,PL,7
ONEONE1,,7
Nadeo,FR,7
inXile Entertainment,US,7
Gaijin Games,,7
Forgotten Empires,US,7
EnsenaSoft,MX,7
DICE,SE,7
"Dejobaan Games, LLC",,7
Crytek,DE,7
Avalanche Studios,SE,7
Assemble Entertainment,DE,7
Acerola,,7
11 bit studios,PL,7
TT Games,GB,6
Towndarktales,,6
Telltale,US,6
Tale of Tales,AE,6
Supermassive Games,GB,6
Stardock Entertainment,US,6
Spiders,FR,6
Sierra Entertainment,US,6
Sierra,US,6
Saber Interactive,US,6
Realmforge Studios,DE,6
Pilgrim Adventures,,6
NovaLogic,US,6
Introversion Software,GB,6
Gas Powered Games,US,6
Funcom,NO,6
Frozenbyte,FI,6
Frontier Developments,GB,6
Eugen Systems,FR,6
Egosoft,DE,6
EA Los Angeles,,6
DONTNOD Entertainment,FR,6
Digital Extremes,CA,6
Cyanide Studios,,6
Core Design,US,6
CD PROJEKT RED,PL,6
BANDAI NAMCO Studios Inc.,JP,6
ATLUS,,6
Aspyr (Linux),,6
Arc System Works,JP,6
World's Edge,,5
Westwood Studios,US,5
Ubisoft,FR,5
Two Tribes,NL,5
Triumph Studios,NL,5
Tripwire Interactive,,5
Total Mayhem Games,,5
Tindalos Interactive,FR,5
Team17,,5
Supergiant Games,US,5
Spellbound,,5
Snkl Studio,,5
Sledgehammer Games,US,5
Sierra Lee,,5
Rocksteady Studios,GB,5
Revolution Software Ltd,GB,5
Remedy Entertainment,FI,5
Reality Pump Studios,PL,5
Petroglyph,US,5
Pendulo Studios,ES,5
Ninja Theory,GB,5
Might and Delight,SE,5
Looking Glass Studios,US,5
KONAMI,,5
KING Art,DE,5
Irrational Games,US,5
Illwinter Game Design,GB,5
Harebrained Schemes,,5
GrabTheGames Studios,,5
"fuzz, Inc.",,5
"Epic Games, Inc.",,5
Eidos-Montréal,CA,5
Digital Reality,DE,5
Dieselmine,,5
Deck Nine,US,5
Coffee Stain Studios,SE,5
City Interactive,,5
Astronomic Games,,5
Artefacts Studio,FR,5
Ankama Studio,,5
Animation Arts,,5
AMPLITUDE Studios,FR,5
Amanita Design,CZ,5
ACE Team,CL,5
Access Software,,5
Abstraction Games,NL,5
4A Games,UA,5
